allergen,ingredient_name,source_type,matched_rows,target_allergen_rows,non_target_rows,target_precision_pct,mentions_total,prevalence_pct,source_origin
Crustacean Shellfish,Surimi,existing,377,250,127,66.31,379,0.1444,Surimi
Crustacean Shellfish,Lobster,existing,316,221,95,69.94,595,0.1211,Lobster
Crustacean Shellfish,Crab Meat,expanded_manual,285,205,80,71.93,350,0.1092,manual_expansion_seed
Crustacean Shellfish,clam,expanded_parenthetical,978,172,806,17.59,1404,0.3747,"Extract (crab, clam, etc.)"
Crustacean Shellfish,clams,expanded_parenthetical,724,142,582,19.61,813,0.2774,"Molluscan shellfish (clams, mussels, oysters, scallops)"
Crustacean Shellfish,crab Extract,expanded_parenthetical,244,80,164,32.79,245,0.0935,"Extract (crab, clam, etc.)"
Crustacean Shellfish,Oyster,expanded_manual,297,64,233,21.55,762,0.1138,manual_expansion_seed
Crustacean Shellfish,Shrimp Powder,expanded_manual,33,23,10,69.70,33,0.0126,manual_expansion_seed
Crustacean Shellfish,oysters,expanded_parenthetical,31,19,12,61.29,31,0.0119,"Molluscan shellfish (clams, mussels, oysters, scallops)"
Crustacean Shellfish,scallops,expanded_parenthetical,39,17,22,43.59,44,0.0149,"Molluscan shellfish (clams, mussels, oysters, scallops)"
Crustacean Shellfish,clam Extract,expanded_parenthetical,17,15,2,88.24,18,0.0065,"Extract (crab, clam, etc.)"
Crustacean Shellfish,Lobster Extract,expanded_manual,12,10,2,83.33,20,0.0046,manual_expansion_seed
Crustacean Shellfish,mussels,expanded_parenthetical,25,9,16,36.00,25,0.0096,"Molluscan shellfish (clams, mussels, oysters, scallops)"
Crustacean Shellfish,Shrimp Extract,expanded_manual,7,7,0,100.00,7,0.0027,manual_expansion_seed
Crustacean Shellfish,Mussel,expanded_manual,6,5,1,83.33,6,0.0023,manual_expansion_seed
Crustacean Shellfish,Prawns,existing,4,4,0,100.00,4,0.0015,Prawns
Crustacean Shellfish,Extract clam,expanded_parenthetical,2,2,0,100.00,2,0.0008,"Extract (crab, clam, etc.)"
Crustacean Shellfish,Molluscan shellfish,existing,2,2,0,100.00,3,0.0008,"Molluscan shellfish (clams, mussels, oysters, scallops)"
Crustacean Shellfish,Scallop,expanded_manual,2,2,0,100.00,3,0.0008,manual_expansion_seed
Crustacean Shellfish,Crawfish,existing,16,1,15,6.25,16,0.0061,Crawfish
Crustacean Shellfish,Crevette,existing,1,1,0,100.00,1,0.0004,Crevette
Crustacean Shellfish,Glucosamine,existing,1,1,0,100.00,1,0.0004,Glucosamine
Crustacean Shellfish,Scampi,existing,11,0,11,0.00,11,0.0042,Scampi
Sesame,Spices,existing,15275,717,14558,4.69,18007,5.8517,Spices
Sesame,Natural flavor,existing,19928,599,19329,3.01,22949,7.6342,Natural flavor
Sesame,Sesame oil,existing,1105,535,570,48.42,1190,0.4233,Sesame oil
Sesame,Sesame Seeds,expanded_manual,2366,491,1875,20.75,2636,0.9064,manual_expansion_seed
Sesame,Flavoring,existing,7448,345,7103,4.63,8486,2.8532,Flavoring (may contain sesame)
Sesame,Sesame seed,existing,860,324,536,37.67,904,0.3295,Sesame seed
Sesame,Toasted Sesame Oil,expanded_manual,154,100,54,64.94,172,0.0590,manual_expansion_seed
Sesame,Black Sesame,expanded_manual,275,71,204,25.82,278,0.1053,manual_expansion_seed
Sesame,Tahini,existing,175,71,104,40.57,175,0.0670,Tahini
Sesame,Sesame flour,existing,89,27,62,30.34,89,0.0341,Sesame flour
Sesame,White Sesame,expanded_manual,78,23,55,29.49,90,0.0299,manual_expansion_seed
Sesame,Sesame Tahini,expanded_manual,77,19,58,24.68,77,0.0295,manual_expansion_seed
Sesame,Sesame paste,existing,18,12,6,66.67,18,0.0069,Sesame paste
Sesame,Hummus,existing,55,9,46,16.36,57,0.0211,Hummus
Sesame,Sesame Butter,expanded_manual,3,3,0,100.00,3,0.0011,manual_expansion_seed
Sesame,may contain sesame,expanded_parenthetical,2,1,1,50.00,2,0.0008,Flavoring (may contain sesame)
Sesame,Tahini Paste,expanded_manual,1,1,0,100.00,1,0.0004,manual_expansion_seed
