class,class_scope,canonical_id,canonical_name,source_type,alias_count,rows_matched,target_rows,target_precision_pct,mentions_total,source_origin
Peanut,big9,peanut__goober_nuts,Goober nuts,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:53
Peanut,big9,peanut__goober_peas,Goober peas,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:53
Peanut,big9,peanut__goobers,Goobers,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:53
Peanut,big9,peanut__ground_nuts,Ground nuts,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:54
Peanut,big9,peanut__mandelonas,Mandelonas,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:55
Peanut,big9,peanut__monkey_nuts,Monkey nuts,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:57
Peanut,big9,peanut__nu_nuts,Nu-Nuts,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:58
Peanut,big9,peanut__nut_meat,Nut meat,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:59
Peanut,big9,peanut__peanut_protein_hydrolysate,Peanut protein hydrolysate,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:62
Tree Nut,big9,tree_nut__almond,Almond,workbook_existing,2,5811,2270,39.06,7006,Allergen-Ingredient Map:64
Tree Nut,big9,tree_nut__cashew,Cashew,workbook_existing,2,1376,466,33.87,1548,Allergen-Ingredient Map:69
Tree Nut,big9,tree_nut__coconut_milk,Coconut Milk,manual_seed,3,505,364,72.08,583,manual_seed
Tree Nut,big9,tree_nut__natural_nut_extract,Natural nut extract,workbook_existing,7,1039,343,33.01,1092,Allergen-Ingredient Map:80
Tree Nut,big9,tree_nut__hazelnut,Hazelnut,workbook_existing,2,733,311,42.43,807,Allergen-Ingredient Map:72
Tree Nut,big9,tree_nut__almond_milk,Almond Milk,manual_seed,3,207,173,83.57,232,manual_seed
Tree Nut,big9,tree_nut__nut_butters,Nut butters,workbook_existing,7,235,88,37.45,241,Allergen-Ingredient Map:82
Tree Nut,big9,tree_nut__pecan,Pecan,workbook_existing,2,149,78,52.35,159,Allergen-Ingredient Map:86
Tree Nut,big9,tree_nut__cashew_butter,Cashew butter,workbook_existing,1,49,39,79.59,49,Allergen-Ingredient Map:69
Tree Nut,big9,tree_nut__praline,Praline,workbook_existing,2,56,28,50.00,61,Allergen-Ingredient Map:91
Tree Nut,big9,tree_nut__brazil_nut,Brazil nut,workbook_existing,1,26,26,100.00,26,Allergen-Ingredient Map:67
Tree Nut,big9,tree_nut__macadamia_nut,Macadamia nut,workbook_existing,1,23,23,100.00,23,Allergen-Ingredient Map:77
Tree Nut,big9,tree_nut__pine_nut,Pine nut,workbook_existing,13,23,23,100.00,23,Allergen-Ingredient Map:89
Tree Nut,big9,tree_nut__coconut,Coconut,workbook_existing,2,25,20,80.00,26,Allergen-Ingredient Map:94
Tree Nut,big9,tree_nut__filbert,Filbert,workbook_existing,2,53,19,35.85,54,Allergen-Ingredient Map:72
Tree Nut,big9,tree_nut__marzipan,Marzipan,workbook_existing,2,16,16,100.00,16,Allergen-Ingredient Map:78
Tree Nut,big9,tree_nut__butternut,Butternut,workbook_existing,2,348,14,4.02,372,Allergen-Ingredient Map:68
Tree Nut,big9,tree_nut__almond_extract,Almond extract,workbook_existing,1,18,10,55.56,18,Allergen-Ingredient Map:64
Tree Nut,big9,tree_nut__walnut,Walnut,workbook_existing,15,149,8,5.37,176,Allergen-Ingredient Map:93
Tree Nut,big9,tree_nut__nougat,Nougat,workbook_existing,2,20,8,40.00,20,Allergen-Ingredient Map:81
Tree Nut,big9,tree_nut__nut_oils,Nut oils,workbook_existing,5,10,8,80.00,10,Allergen-Ingredient Map:84
Tree Nut,big9,tree_nut__pesto,Pesto,workbook_existing,2,98,7,7.14,111,Allergen-Ingredient Map:87
Tree Nut,big9,tree_nut__almond_paste,Almond paste,workbook_existing,1,17,6,35.29,17,Allergen-Ingredient Map:64
Tree Nut,big9,tree_nut__nutella,Nutella,workbook_existing,2,2,2,100.00,2,Allergen-Ingredient Map:85
Tree Nut,big9,tree_nut__karite,Karite,workbook_existing,2,1,1,100.00,1,Allergen-Ingredient Map:92
Tree Nut,big9,tree_nut__nut_pieces,Nut pieces,workbook_existing,1,1,1,100.00,1,Allergen-Ingredient Map:83
Tree Nut,big9,tree_nut__chestnut,Chestnut,workbook_existing,2,22,0,0.00,22,Allergen-Ingredient Map:70
Tree Nut,big9,tree_nut__shea_nut,Shea nut,workbook_existing,1,9,0,0.00,9,Allergen-Ingredient Map:92
Tree Nut,big9,tree_nut__artificial_nuts,Artificial nuts,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:65
Tree Nut,big9,tree_nut__beechnut,Beechnut,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:66
Tree Nut,big9,tree_nut__bush_nut,Bush nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:77
Tree Nut,big9,tree_nut__chinquapin_nut,Chinquapin nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:71
Tree Nut,big9,tree_nut__gianduja,Gianduja,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:73
Tree Nut,big9,tree_nut__ginkgo_nut,Ginkgo nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:74
Tree Nut,big9,tree_nut__hickory_nut,Hickory nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:75
Tree Nut,big9,tree_nut__lichee,Lichee,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:76
Tree Nut,big9,tree_nut__litchi,Litchi,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:76
Tree Nut,big9,tree_nut__lychee_nut,Lychee nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:76
Tree Nut,big9,tree_nut__nangai_nut,Nangai nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:79
Tree Nut,big9,tree_nut__nut_meal,Nut meal,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:83
Tree Nut,big9,tree_nut__nut_meat,Nut meat,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:83
Tree Nut,big9,tree_nut__nut_paste,Nut paste,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:83
Tree Nut,big9,tree_nut__pili_nut,Pili nut,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:88
Tree Nut,big9,tree_nut__pistachio,Pistachio,workbook_existing,0,0,0,0.00,0,Allergen-Ingredient Map:90
Wheat,big9,wheat__wheat,Wheat,workbook_existing,23,186358,87249,46.82,396787,Allergen-Ingredient Map:118
Wheat,big9,wheat__flour,Flour,workbook_existing,34,171428,83921,48.95,578800,Allergen-Ingredient Map:106
Wheat,big9,wheat__modified_food_starch,Modified food starch,workbook_existing,3,17038,6620,38.85,19368,Allergen-Ingredient Map:110
Wheat,big9,wheat__durum,Durum,workbook_existing,2,5187,3060,58.99,6081,Allergen-Ingredient Map:101
Wheat,big9,wheat__pasta,Pasta,workbook_existing,2,5202,2845,54.69,5847,Allergen-Ingredient Map:111
Wheat,big9,wheat__semolina,Semolina,workbook_existing,2,5854,2802,47.86,6534,Allergen-Ingredient Map:113
Wheat,big9,wheat__vital_wheat_gluten,Vital wheat gluten,workbook_existing,1,3109,1776,57.12,3179,Allergen-Ingredient Map:117
Wheat,big9,wheat__bread_crumbs,Bread crumbs,workbook_existing,1,3682,1657,45.00,3705,Allergen-Ingredient Map:95
Wheat,big9,wheat__wheat_protein_isolate,Wheat protein isolate,workbook_existing,1,681,444,65.20,682,Allergen-Ingredient Map:122
Wheat,big9,wheat__triticale,Triticale,workbook_existing,2,528,409,77.46,535,Allergen-Ingredient Map:116
Wheat,big9,wheat__bulgur,Bulgur,workbook_existing,2,615,344,55.93,672,Allergen-Ingredient Map:96
Wheat,big9,wheat__spelt,Spelt,workbook_existing,2,368,282,76.63,369,Allergen-Ingredient Map:114
Wheat,big9,wheat__cracker_meal,Cracker meal,workbook_existing,1,192,91,47.40,192,Allergen-Ingredient Map:100
Wheat,big9,wheat__kamut,Kamut,workbook_existing,2,92,77,83.70,92,Allergen-Ingredient Map:108
Wheat,big9,wheat__couscous,Couscous,workbook_existing,2,81,66,81.48,85,Allergen-Ingredient Map:99
Wheat,big9,wheat__hydrolyzed_wheat_protein,Hydrolyzed wheat protein,workbook_existing,1,52,38,73.08,52,Allergen-Ingredient Map:107
Wheat,big9,wheat__farina,Farina,workbook_existing,2,48,34,70.83,63,Allergen-Ingredient Map:104
Wheat,big9,wheat__farro,Farro,workbook_existing,2,48,34,70.83,70,Allergen-Ingredient Map:105
Wheat,big9,wheat__sprouted_wheat,Sprouted wheat,workbook_existing,1,37,27,72.97,37,Allergen-Ingredient Map:115
Wheat,big9,wheat__einkorn,Einkorn,workbook_existing,2,8,8,100.00,8,Allergen-Ingredient Map:102
Wheat,big9,wheat__whole_wheat_berries,Whole wheat berries,workbook_existing,1,8,8,100.00,8,Allergen-Ingredient Map:123
Wheat,big9,wheat__matzo,Matzo,workbook_existing,2,8,6,75.00,8,Allergen-Ingredient Map:109
Wheat,big9,wheat__emmer,Emmer,workbook_existing,2,6,6,100.00,6,Allergen-Ingredient Map:103
Wheat,big9,wheat__seitan,Seitan,workbook_existing,2,4,1,25.00,4,Allergen-Ingredient Map:112
Wheat,big9,wheat__cereal_extract,Cereal extract,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:97
Wheat,big9,wheat__club_wheat,Club wheat,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:98
Wheat,big9,wheat__matza,Matza,workbook_existing,4,0,0,0.00,0,Allergen-Ingredient Map:109
Wheat,big9,wheat__matzah,Matzah,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:109
Wheat,big9,wheat__matzoh,Matzoh,workbook_existing,2,0,0,0.00,0,Allergen-Ingredient Map:109
Wheat,big9,wheat__wheat_bran_hydrolysate,Wheat bran hydrolysate,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:119
Wheat,big9,wheat__wheat_germ_oil,Wheat germ oil,workbook_existing,1,0,0,0.00,0,Allergen-Ingredient Map:120
Wheat,big9,wheat__wheat_grass,Wheat grass,workbook_existing,0,0,0,0.00,0,Allergen-Ingredient Map:121
Soy,big9,soy__soy,Soy,workbook_existing,24,202858,148768,73.34,720629,Allergen-Ingredient Map:129
Soy,big9,soy__soybean,Soybean,workbook_existing,2,98740,72318,73.24,120522,Allergen-Ingredient Map:135
Soy,big9,soy__soy_lecithin,Soy lecithin,workbook_existing,1,26348,21173,80.36,33366,Allergen-Ingredient Map:131
