class,class_scope,canonical_id,alias,alias_norm,source_type,source_status,effective_status,active,rows_matched,target_rows,other_labeled_rows,target_precision_pct,target_exclusivity_pct,mentions_total,source_origin,decision_reason
Milk,big9,milk__cheese,all types,all types,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:5,
Milk,big9,milk__butter_acid,Butter acid,butter acid,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:2,
Milk,big9,milk__butter_ester,Butter ester,butter ester,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:2,
Milk,big9,milk__butter_ester,Butter ester s,butter ester s,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:2,
Milk,big9,milk__butter,butters,butters,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:0,
Milk,big9,milk__caseinates,Caseinates all forms,caseinates all forms,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:4,
Milk,big9,milk__caseinates,Caseinates sodium caseinate,caseinates sodium caseinate,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:4,
Milk,big9,milk__casein,caseins,caseins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:8,
Milk,big9,milk__cheese,Cheese all types,cheese all types,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:5,
Milk,big9,milk__milk,condenseds,condenseds,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:63,
Milk,big9,milk__custard,custards,custards,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:20,
Milk,big9,milk__diacetyl,diacetyls,diacetyls,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:21,
Milk,big9,milk__milk,evaporateds,evaporateds,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:47,
Milk,big9,milk__ghee,ghees,ghees,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:22,
Milk,big9,milk__hydrolysates,Hydrolysates casein,hydrolysates casein,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:12,
Milk,big9,milk__hydrolysates,Hydrolysates milk protein,hydrolysates milk protein,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:12,
Milk,big9,milk__hydrolysates,Hydrolysates whey,hydrolysates whey,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:12,
Milk,big9,milk__hydrolysates,Hydrolysates whey protein,hydrolysates whey protein,workbook_parenthetical,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:12,
Milk,big9,milk__ice_cream,Ice cream,ice cream,workbook_existing,approved,demoted_auto,no,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:13,"Auto-demoted: support 2126, precision 0.194, exclusivity 0.194."
Milk,big9,milk__lactalbumin,Lactalbumin,lactalbumin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:14,
Milk,big9,milk__lactalbumin_phosphate,Lactalbumin phosphate,lactalbumin phosphate,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:14,
Milk,big9,milk__lactalbumin,lactalbumins,lactalbumins,rule_variant,generated,generated,yes,0,0,0,0.00,0.00,0,rule_from_alias:33,
Milk,big9,milk__lactoferrin,Lactoferrin,lactoferrin,workbook_existing,approved,approved,yes,0,0,0,0.00,0.00,0,Allergen-Ingredient Map:15,
